,Country,Index Year,Current health expenditure (% of GDP),GDP growth (annual %),Political Stability and Absence of Violence/Terrorism: Estimate,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,CPI Rank,CPI Score
0,Argentina,2014,9.67129993,-2.51261532081394,-0.0051218713633716,44.6,15.0,29.5,,63.5,49.9,,53.9,44.9,60.0,68.9,30,30,107.0,34.0
1,Argentina,2015,10.22933674,2.73115982828944,0.0087641347199678,44.1,15.0,34.0,,66.8,41.2,,52.8,43.3,59.6,68.8,30,30,107.0,32.0
2,Argentina,2016,9.85558891,-2.08032784377811,0.197749897837639,43.8,15.0,34.0,,66.1,51.3,,56.0,43.9,44.0,67.4,30,30,95.0,36.0
3,Argentina,2017,10.23174763,2.81850297775918,0.162542164325714,50.4,32.4,38.2,39.6,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50,50,85.0,39.0
4,Argentina,2018,10.29146862,-2.61739646282038,0.0069098123349249,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55,60,85.0,40.0
5,Argentina,2019,10.04194355,-2.00086100285785,-0.0978230908513069,52.2,47.8,33.5,44.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55,60,66.0,45.0
6,Argentina,2020,10.34701538,-9.9004848136464,-0.0719974040985107,53.1,50.5,49.7,47.0,69.6,50.7,24.7,60.2,46.5,53.7,69.2,55,60,78.0,42.0
7,Argentina,2021,9.70880699,10.4418119882506,0.0005300586344674,52.7,46.1,54.0,45.7,70.4,52.8,38.4,59.5,46.3,41.9,62.6,55,60,96.0,38.0
8,Argentina,2022,,5.26987967384072,-0.0985943302512169,50.1,35.1,45.1,57.9,73.3,53.0,16.8,55.1,51.0,37.9,60.6,55,60,94.0,38.0
9,Argentina,2023,,-1.61100162090189,-0.127517908811569,51.0,34.6,56.8,42.8,66.9,53.9,33.6,55.5,55.1,36.5,61.2,55,60,98.0,37.0
10,Bolivia,2014,5.89613628,5.46056957461593,-0.333112090826035,48.4,10.0,28.1,,87.1,62.5,,53.4,29.9,70.0,77.6,15,50,103.0,35.0
11,Bolivia,2015,6.55064964,4.85718723245387,-0.270498692989349,46.8,10.0,34.0,,86.8,60.9,,53.7,25.5,69.7,77.6,10,40,99.0,34.0
12,Bolivia,2016,6.83333063,4.26392083754456,-0.25367596745491,47.4,10.0,35.0,,86.4,55.5,,58.8,31.7,65.0,76.6,15,40,113.0,33.0
13,Bolivia,2017,6.4901948,4.1952063010676,-0.280110895633698,47.7,25.7,32.6,15.4,86.1,49.1,81.4,58.9,35.8,66.4,76.0,5,40,112.0,33.0
